configuration,run,case,item_id,fact_id,kind,label_or_component,provenance,expected,matched_value,recovered,vir_item,resolved_vision_model,vision_response_id,vision_request_id,description_latency_seconds,structuring_latency_seconds,source_raw_log,copied_raw_log,error
gpt56_generic,2,ABTR,abtr_v08,abtr_v08,coordinate,Pipe2 end,source_aligned_inference,"[0.0, 0.8]",,False,0.0,gpt-5.6-sol,resp_0d18cae8aa47a11d006a7e29f94fe481958840991cd8f82eef,req_6375822301134817be3fa207487b9ed2,17.390885400000116,10.82325049999963,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_02\ABTR.json,raw/gpt56_generic/run_02_ABTR.json,
gpt56_generic,2,ABTR,abtr_v09,abtr_v09,length,Pipe1,source_and_deduced,0.6,0.6,True,1.0,gpt-5.6-sol,resp_0d18cae8aa47a11d006a7e29f94fe481958840991cd8f82eef,req_6375822301134817be3fa207487b9ed2,17.390885400000116,10.82325049999963,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_02\ABTR.json,raw/gpt56_generic/run_02_ABTR.json,
gpt56_generic,2,ABTR,abtr_v10,abtr_v10,length,Pipe2,source_and_deduced,1.5,1.5,True,1.0,gpt-5.6-sol,resp_0d18cae8aa47a11d006a7e29f94fe481958840991cd8f82eef,req_6375822301134817be3fa207487b9ed2,17.390885400000116,10.82325049999963,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_02\ABTR.json,raw/gpt56_generic/run_02_ABTR.json,
gpt56_generic,2,ABTR,abtr_v11,abtr_v11,length,CH1,source_and_deduced,0.8,1.8,False,0.0,gpt-5.6-sol,resp_0d18cae8aa47a11d006a7e29f94fe481958840991cd8f82eef,req_6375822301134817be3fa207487b9ed2,17.390885400000116,10.82325049999963,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_02\ABTR.json,raw/gpt56_generic/run_02_ABTR.json,
gpt56_generic,2,ABTR,abtr_v12,abtr_v12,length,CH2,source_and_deduced,0.8,1.3,False,0.0,gpt-5.6-sol,resp_0d18cae8aa47a11d006a7e29f94fe481958840991cd8f82eef,req_6375822301134817be3fa207487b9ed2,17.390885400000116,10.82325049999963,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_02\ABTR.json,raw/gpt56_generic/run_02_ABTR.json,
gpt56_generic,2,ABTR,abtr_v13,abtr_v13,length,CH3,source_and_deduced,0.8,0.8,True,1.0,gpt-5.6-sol,resp_0d18cae8aa47a11d006a7e29f94fe481958840991cd8f82eef,req_6375822301134817be3fa207487b9ed2,17.390885400000116,10.82325049999963,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_02\ABTR.json,raw/gpt56_generic/run_02_ABTR.json,
gpt56_generic,2,ABTR,abtr_v14,abtr_v14,length,CH4,source_and_deduced,0.8,0.3,False,0.0,gpt-5.6-sol,resp_0d18cae8aa47a11d006a7e29f94fe481958840991cd8f82eef,req_6375822301134817be3fa207487b9ed2,17.390885400000116,10.82325049999963,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_02\ABTR.json,raw/gpt56_generic/run_02_ABTR.json,
gpt56_generic,2,ABTR,abtr_v15,abtr_v15,length,CH5,source_and_deduced,0.8,0.2,False,0.0,gpt-5.6-sol,resp_0d18cae8aa47a11d006a7e29f94fe481958840991cd8f82eef,req_6375822301134817be3fa207487b9ed2,17.390885400000116,10.82325049999963,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_02\ABTR.json,raw/gpt56_generic/run_02_ABTR.json,
gpt56_generic,3,ABTR,abtr_v01,abtr_v01,coordinate,inlet,explicit_figure_and_source,"[0.0, 2.3]","{""label"": ""Inlet"", ""value"": [0.0, 2.3]}",True,1.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v02,abtr_v02,coordinate,outlet,explicit_figure_and_source,"[0.0, -0.6]","{""label"": ""Outlet"", ""value"": [0.0, -0.6]}",True,1.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v03,abtr_v03,coordinate,CH1 start,source_aligned_inference,"[-1.0, 0.8]",,False,0.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v04,abtr_v04,coordinate,CH2 start,source_aligned_inference,"[-0.5, 0.8]",,False,0.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v05,abtr_v05,coordinate,CH3 start,source_aligned_inference,"[0.0, 0.8]",,False,0.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v06,abtr_v06,coordinate,CH4 start,source_aligned_inference,"[0.5, 0.8]",,False,0.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v07,abtr_v07,coordinate,CH5 start,source_aligned_inference,"[1.0, 0.8]",,False,0.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v08,abtr_v08,coordinate,Pipe2 end,source_aligned_inference,"[0.0, 0.8]",,False,0.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v09,abtr_v09,length,Pipe1,source_and_deduced,0.6,0.6,True,1.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v10,abtr_v10,length,Pipe2,source_and_deduced,1.5,1.5,True,1.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v11,abtr_v11,length,CH1,source_and_deduced,0.8,0.8,True,1.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v12,abtr_v12,length,CH2,source_and_deduced,0.8,0.5,False,0.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v13,abtr_v13,length,CH3,source_and_deduced,0.8,0.0,False,0.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v14,abtr_v14,length,CH4,source_and_deduced,0.8,0.5,False,0.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
gpt56_generic,3,ABTR,abtr_v15,abtr_v15,length,CH5,source_and_deduced,0.8,0.8,True,1.0,gpt-5.6-sol,resp_0722d165661e469b006a7e2a3953b88195adb5ef25dbeb1d27,req_e16ea57e122f4494817a0889d62727a5,16.178397899999254,10.93613220000043,<AUTOSAM_ROOT>\evaluation_runs\20260813T203816Z_vision_gpt56sol_strict\raw\run_03\ABTR.json,raw/gpt56_generic/run_03_ABTR.json,
